"secuencial";"secCanton";"codigo";"nombre";"estaActivo"
5364;111;"56";"SACAPALCA";1
5365;112;"50";"MACARA";1
5366;112;"51";"LARAMA";1
5367;112;"52";"LA VICTORIA";1
5368;112;"53";"SABIANGO (LA CAPILLA)";1
5369;113;"50";"CATACOCHA";1
5370;113;"51";"CANGONAMA";1
5371;113;"52";"GUACHANAMA";1
5372;113;"54";"LAURO GUERRERO";1
5373;113;"56";"ORIANGA";1
5374;113;"57";"SAN ANTONIO";1
5375;113;"58";"CASANGA";1
5376;113;"59";"YAMANA";1
5377;114;"50";"ALAMOR";1
5378;114;"51";"CIANO";1
5379;114;"52";"EL ARENAL";1
5380;114;"53";"EL LIMO (MARIANA DE JESUS)";1
5381;114;"54";"MERCADILLO";1
5382;114;"55";"VICENTINO";1
5383;115;"50";"SARAGURO";1
5384;115;"51";"EL PARAISO DE CELEN";1
5385;115;"52";"EL TABLON  ";1
5386;115;"53";"LLUZHAPA";1
5387;115;"54";"MANU";1
5388;115;"55";"SAN ANTONIO DE QUMBE (CUMBE)";1
5389;115;"56";"SAN PABLO DE TENTA";1
5390;115;"57";"SAN SEBASTIAN DE YULUC";1
5391;115;"58";"SELVA ALEGRE";1
5392;115;"59";"URDANETA (PAQUISHAPA)";1
5393;115;"60";"SUMAYPAMBA";1
5394;116;"50";"SOZORANGA";1
5395;116;"51";"NUEVA FATIMA";1
5396;116;"52";"TACAMOROS";1
5397;117;"50";"ZAPOTILLO";1
5398;117;"51";"CAZADEROS (CAB.EN MANGAURCO) ";1
5399;117;"52";"GARZAREAL";1
5400;117;"53";"LIMONES";1
5401;117;"54";"PALETILLAS";1
5402;117;"55";"BOLASPAMBA";1
5403;118;"50";"PINDAL";1
5404;118;"51";"CHAQUINAL";1
5405;118;"52";"12 DE DICIEMBRE (CAB.EN ACHIOTES)";1
5406;119;"50";"QUILANGA";1
5407;119;"51";"FUNDOCHAMBA";1
5408;119;"52";"SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)";1
5409;120;"50";"OLMEDO";1
5410;120;"51";"LA TINGUE";1
5859;74;"50";"GUAYAQUIL";1
5860;74;"52";"JUAN GOMEZ RENDON (PROGRESO) ";1
5861;74;"53";"MORRO";1
5862;74;"56";"POSORJA";1
5863;74;"57";"PUNA";1
5864;74;"58";"TENGUEL";1
5865;75;"50";"ALFREDO BAQUERIZO MORENO (JUJAN)";1
5866;76;"50";"BALAO";1
5867;77;"50";"BALZAR";1
5868;78;"50";"COLIMES";1
5869;78;"51";"SAN JACINTO";1
5870;79;"50";"DAULE";1
5871;79;"52";"JUAN BAUTISTA AGUIRRE (LOS TINTOS) ";1
5872;79;"53";"LAUREL";1
5873;79;"54";"LIMONAL";1
5874;79;"56";"LOS LOJAS (ENRIQUE BAQUERIZO MORENO)";1
5875;80;"50";"ELOY ALFARO (DURAN)";1
5876;81;"50";"VELASCO IBARRA (EL EMPALME)";1
5877;81;"51";"GUAYAS (PUEBLO NUEVO) ";1
5878;81;"52";"EL ROSARIO";1
5879;82;"50";"EL TRIUNFO";1
5880;83;"50";"MILAGRO";1
5881;83;"51";"CHOBO";1
5882;83;"53";"MARISCAL SUCRE (HUAQUES)";1
5883;83;"54";"ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) ";1
5884;84;"50";"NARANJAL";1
5885;84;"51";"JESUS MARIA";1
5886;84;"52";"SAN CARLOS";1
5887;84;"53";"SANTA ROSA DE FLANDES";1
5888;84;"54";"TAURA";1
5889;85;"50";"NARANJITO";1
5890;86;"50";"PALESTINA";1
